6285,鹫,鸟,jiù
6284,燮,火,xiè
6283,螽,虫,zhōng
6282,鳊,鱼,biān
6281,鳇,鱼,huáng
6280,鳅,鱼,qiū
6279,鳃,鱼,sāi|xǐ
6278,鳀,鱼,tí
6277,鲽,鱼,dié
6276,鲼,鱼,fèn
6275,臃,月,yōng
6274,臆,月,yì
6273,膻,月,shān|dàn
6272,臌,月,gǔ
6271,貔,豸,pí
6270,邈,辶,miǎo
6269,貘,豸,mò
6268,繇,糸,yáo|yóu|zhòu
6267,龠,龠,yuè
6266,魍,鬼,wǎng
6265,皤,白,pó
6264,鼾,鼻,hān
6263,鹪,鸟,jiāo
6262,儡,亻,lěi
6261,黛,黑,dài
6260,鼢,鼠,fén
6259,簋,皿,guǐ
6258,簖,竹,duàn
6257,篼,竹,dōu
6256,篾,竹,miè
6255,簌,竹,sù
6254,黏,黍,nián
6253,罅,缶,xià
6252,镫,钅,dèng
6251,镪,钅,qiǎng
6250,镩,钅,cuān
6249,镧,钅,lán
6248,镦,钅,duī
6247,镣,钅,liào
6246,镢,钅,jué
6245,镡,钅,xín
6244,髀,骨,bì
6243,髁,骨,kē
6242,黝,黑,yǒu
6241,黜,黑,chù
6240,嶷,山,yí
6239,罾,罒,zēng
6238,罽,罒,jì
6237,羁,罒,jī
6236,嚓,口,cā|chā
6235,蟑,虫,zhāng
6234,螳,虫,táng
6233,疃,田,tuǎn
6232,螵,虫,piāo
6231,螬,虫,cáo
6230,蟥,虫,huáng
6229,蹊,足,xī
6228,蹒,足,pán
6227,蹑,足,niè
6226,嚅,口,rú
6225,嚏,口,tì
6224,黻,黹,fú
6223,壑,土,hè
6222,豳,豕,bīn
6221,龌,齿,wò
6220,龋,齿,qǔ
6219,鹩,鸟,liáo
6218,磴,石,dèng
6217,礅,石,dūn
6216,翳,羽,yì
6215,醢,酉,hǎi
6214,懋,心,mào
6213,檩,木,lǐn
6212,檄,木,xí
6211,藁,艹,gǎo
6210,藓,艹,xiǎn
6209,薰,艹,xūn
6208,薷,艹,rú
6207,鞬,革,jiàn|jiān
6206,鞡,革,la
6205,薹,艹,tái
6204,擢,扌,zhuó
6203,罄,缶,qìng
6202,觳,角,hú
6201,壕,土,háo
6200,擤,扌,xǐng
6199,螫,虫,shì|zhē
6198,璪,王,zǎo
6197,璐,王,lù
6196,璩,王,qú
6195,璨,王,càn
6194,缳,纟,huán
6193,缲,纟,qiāo|sāo
6192,缱,纟,qiǎn
6191,颡,页,sǎng
6190,嬗,女,shàn
6189,隰,阝,xí
6188,犟,牛,jiàng
6187,嬖,女,bì
6186,禧,礻,xǐ
6185,褶,衤,zhě
6184,窸,穴,xī
6183,寰,宀,huán
6182,褰,衣,qiān
6181,濂,氵,lián
6180,澶,氵,chán
6179,澥,氵,xiè
6178,澹,氵,dàn|tán
6177,澧,氵,lǐ
6176,潞,氵,lù
6175,濉,氵,suī
6174,濑,氵,lài
6173,燧,火,suì
6172,燔,火,fán
6171,燠,火,yù
6170,燎,火,liáo|liǎo
6169,甑,瓦,zèng
6168,瞥,目,piē
6167,糗,米,qiǔ
6166,羲,羊,xī
6165,壅,土,yōng
6164,嬴,女,yíng
6163,麈,鹿,zhǔ
6162,麇,鹿,jūn|qún
6161,斓,文,lán
6160,瘳,疒,chōu
6159,癃,疒,lóng
6158,瘴,疒,zhàng
6157,瘵,疒,zhài
6156,瘿,疒,yǐng
6155,廪,广,lǐn
6154,瘰,疒,luǒ
6153,赟,贝,yūn
6152,廨,广,xiè
6151,鹧,鸟,zhè
6150,邂,辶,xiè
6149,獬,犭,xiè
6148,獭,犭,tǎ
6147,獴,犭,méng
6146,鲻,鱼,zī
6145,鲷,鱼,diāo
6144,鲵,鱼,ní
6143,鲴,鱼,gù
6142,鲳,鱼,chāng
6141,鲲,鱼,kūn
6140,鲱,鱼,fēi
