1,一,一,yī
2,乙,乙,yǐ
3,二,二,èr
4,十,十,shí
5,丁,一,dīng|zhēng
6,厂,厂,chǎng|ān|hàn
7,七,一,qī
8,卜,卜,bǔ|bo|pu
9,八,八,bā
10,人,人,rén
11,入,入,rù
12,儿,儿,ér
13,匕,匕,bǐ
14,几,几,jǐ|jī
15,九,丿,jiǔ
16,刁,刀,diāo
17,了,乛,le|liǎo
18,刀,刀,dāo
19,力,力,lì
20,乃,乛,nǎi
21,又,又,yòu
22,三,一,sān
23,干,干,gàn|gān
24,于,二,yú
25,亏,一,kuī
26,工,工,gōng
27,土,土,tǔ
28,士,士,shì
29,才,一,cái
30,下,一,xià
31,寸,寸,cùn
32,大,大,dà|dài|tài
33,丈,一,zhàng
34,与,一,yǔ|yù|yú
35,万,一,wàn|mò
36,上,一,shǎng|shàng|shang
37,小,小,xiǎo
38,口,口,kǒu
39,山,山,shān
40,巾,巾,jīn
41,千,十,qiān
42,乞,乙,qǐ
43,川,丿,chuān
44,亿,亻,yì
45,个,人,gè|gě
46,夕,夕,xī
47,久,丿,jiǔ
48,么,丿,me|mó|yāo|ma
49,勺,勹,sháo
50,凡,几,fán
51,丸,丿,wán
52,及,丿,jí
53,广,广,guǎng|ān
54,亡,亠,wáng|wú
55,门,门,mén
56,丫,丨,yā
57,义,丶,yì
58,之,丶,zhī
59,尸,尸,shī
60,己,己,jǐ
61,已,已,yǐ
62,巳,巳,sì
63,弓,弓,gōng
64,子,子,zǐ
65,卫,卩,wèi
66,也,乙,yě
67,女,女,nǚ|rǔ
68,刃,刀,rèn
69,飞,飞,fēi
70,习,乙,xí
71,叉,又,chā|chà|chǎ|chá
72,马,马,mǎ
73,乡,乙,xiāng
74,丰,丨,fēng
75,王,王,wáng|wàng
76,开,廾,kāi
77,井,一,jǐng
78,天,大,tiān
79,夫,大,fū|fú
80,元,一,yuán
81,无,一,wú|mó
82,云,二,yún
83,专,一,zhuān
84,丐,一,gài
85,扎,扌,zhā|zā|zhá
86,艺,艹,yì
87,木,木,mù
88,五,一,wǔ
89,支,支,zhī
90,厅,厂,tīng
91,不,一,bù
92,犬,犬,quǎn
93,太,大,tài
94,区,匚,qū|ōu
95,历,厂,lì
96,歹,歹,dǎi
97,友,又,yǒu
98,尤,尢,yóu
99,匹,匚,pǐ
100,车,车,chē|jū
101,巨,匚,jù
102,牙,牙,yá
103,屯,一,tún|zhūn
104,戈,戈,gē
105,比,比,bǐ
106,互,二,hù
107,切,刀,qiē|qiè
108,瓦,瓦,wǎ|wà
109,止,止,zhǐ
110,少,小,shǎo|shào
111,曰,曰,yuē
112,日,日,rì
113,中,丨,zhōng|zhòng
114,贝,贝,bèi
115,冈,冂,gāng
116,内,冂,nèi|nà
117,水,水,shuǐ
118,见,见,jiàn|xiàn
119,午,十,wǔ
120,牛,牛,niú
121,手,手,shǒu
122,气,气,qì
123,毛,毛,máo
124,壬,士,rén
125,升,丿,shēng
126,夭,大,yāo
127,长,长,cháng|zhǎng
128,仁,亻,rén
129,什,亻,shí|shén
130,片,片,piàn|piān
131,仆,亻,pú|pū
132,化,亻,huà|huā
133,仇,亻,chóu|qiú
134,币,巾,bì
135,仍,亻,réng
136,仅,亻,jǐn|jìn
137,斤,斤,jīn
138,爪,爪,zhǎo|zhuǎ
139,反,又,fǎn
140,介,人,jiè
141,父,父,fù|fǔ
142,从,人,cóng|zòng
143,仑,人,lún
144,今,人,jīn
145,凶,凵,xiōng
146,分,刀,fēn|fèn
147,乏,丿,fá
148,公,八,gōng
149,仓,人,cāng
150,月,月,yuè
151,氏,氏,shì|zhī
152,勿,勹,wù
153,欠,欠,qiàn
154,风,风,fēng|fěng
155,丹,丿,dān
156,匀,勹,yún
157,乌,丿,wū|wù
158,勾,勹,gōu|gòu
159,凤,几,fèng
160,六,亠,liù|lù
161,文,文,wén
162,亢,亠,kàng
163,方,方,fāng
164,火,火,huǒ
165,为,丶,wéi|wèi
166,斗,斗,dòu|dǒu
167,忆,忄,yì
168,计,讠,jì
169,订,讠,dìng
170,户,户,hù
171,认,讠,rèn
172,冗,冖,rǒng
173,讥,讠,jī
174,心,心,xīn
175,尺,尸,chǐ|chě
176,引,弓,yǐn
177,丑,一,chǒu
178,巴,巳,bā
179,孔,子,kǒng
180,队,阝,duì
181,办,力,bàn
182,以,人,yǐ
183,允,儿,yǔn
184,予,乛,yǔ|yú
185,邓,又,dèng
186,劝,力,quàn
187,双,又,shuāng
188,书,乛,shū
189,幻,幺,huàn
190,玉,玉,yù
191,刊,刂,kān
192,未,木,wèi
193,末,木,mò
194,示,示,shì
195,击,凵,jī
196,打,扌,dǎ|dá
197,巧,工,qiǎo
198,正,止,zhèng|zhēng
199,扑,扌,pū
200,卉,十,huì
201,扒,扌,bā|pá
202,功,力,gōng
203,扔,扌,rēng
204,去,厶,qù
205,甘,甘,gān
206,世,一,shì
207,艾,艹,ài|yì
208,古,口,gǔ
209,节,艹,jié|jiē
210,本,木,běn
211,术,木,shù|zhú|shú
212,可,口,kě|kè
213,丙,一,bǐng
214,左,工,zuǒ
215,厉,厂,lì
216,石,石,shí|dàn
217,右,口,yòu
218,布,巾,bù
219,夯,大,hāng|bèn
220,戊,戈,wù
221,龙,龙,lóng
222,平,干,píng
223,灭,火,miè
224,轧,车,zhá|yà|gá
225,东,一,dōng
226,卡,丨,kǎ|qiǎ
227,北,匕,běi|bèi
228,占,卜,zhàn|zhān
229,凸,凵,tū
230,卢,卜,lú
231,业,业,yè
232,旧,日,jiù
233,帅,巾,shuài
234,归,彐,guī
235,旦,日,dàn
236,目,目,mù
237,且,一,qiě|jū
238,叶,口,yè|xié
239,甲,丨,jiǎ
240,申,丨,shēn
241,叮,口,dīng
242,电,丨,diàn
243,号,口,hào|háo
244,田,田,tián
245,由,丨,yóu
246,只,口,zhī|zhǐ
247,叭,口,bā
248,史,口,shǐ
249,央,丨,yāng
250,兄,儿,xiōng
251,叽,口,jī
252,叼,口,diāo
253,叫,口,jiào
254,叩,口,kòu
255,叨,口,dāo|tāo
256,另,口,lìng
257,叹,口,tàn
258,冉,冂,rǎn
259,皿,皿,mǐn
260,凹,丨,āo|wā
261,囚,囗,qiú
262,四,囗,sì
263,生,生,shēng
264,矢,矢,shǐ
265,失,大,shī
266,乍,丿,zhà
267,禾,禾,hé
268,丘,丿,qiū
269,付,亻,fù
270,仗,亻,zhàng
271,代,亻,dài
272,仙,亻,xiān
273,们,亻,mén|men
274,仪,亻,yí
275,白,白,bái
276,仔,亻,zǎi|zǐ|zī
277,他,亻,tā
278,斥,⺁,chì
279,瓜,瓜,guā
280,乎,丿,hū
281,丛,一,cóng
282,令,人,lìng|líng|lǐng
283,用,用,yòng
284,甩,用,shuǎi
285,印,卩,yìn
286,尔,小,ěr
287,乐,丿,lè|yuè
288,句,勹,jù|gōu
289,匆,勹,cōng
290,册,丿,cè
291,卯,卩,mǎo
292,犯,犭,fàn
293,外,夕,wài
294,处,夂,chǔ|chù
295,冬,夂,dōng
296,鸟,鸟,niǎo|diǎo
297,务,力,wù
298,包,勹,bāo
299,饥,饣,jī
300,主,丶,zhǔ
301,市,亠,shì
302,立,立,lì
303,冯,冫,féng|píng
304,玄,亠,xuán
305,闪,门,shǎn
306,兰,丷,lán
307,半,丶,bàn
308,汁,氵,zhī
309,汇,氵,huì
310,头,大,tóu|tou
311,汉,氵,hàn
312,宁,宀,níng|nìng|zhù
313,穴,穴,xué
314,它,宀,tā
315,讨,讠,tǎo
316,写,冖,xiě
317,让,讠,ràng
318,礼,礻,lǐ
319,训,讠,xùn
320,议,讠,yì
321,必,丶,bì
322,讯,讠,xùn
323,记,讠,jì
324,永,水,yǒng
325,司,口,sī
326,尼,尸,ní
327,民,乛,mín
328,弗,弓,fú
329,弘,弓,hóng
330,出,凵,chū
331,辽,辶,liáo
332,奶,女,nǎi
333,奴,女,nú
334,召,口,zhào|shào
335,加,力,jiā
336,皮,皮,pí
337,边,辶,biān|bian
338,孕,子,yùn
339,发,又,fā|fà
340,圣,又,shèng
341,对,寸,duì
342,台,厶,tái|tāi
343,矛,矛,máo
344,纠,纟,jiū
345,母,母,mǔ
346,幼,幺,yòu
347,丝,一,sī
348,邦,阝,bāng
349,式,弋,shì
350,迂,辶,yū
351,刑,刂,xíng
352,戎,戈,róng
353,动,力,dòng
354,扛,扌,káng|gāng
355,寺,寸,sì
356,吉,口,jí
357,扣,扌,kòu
358,考,耂,kǎo
359,托,扌,tuō
360,老,耂,lǎo
361,巩,工,gǒng
362,圾,土,jī
363,执,扌,zhí
364,扩,扌,kuò
365,扫,扌,sǎo|sào
366,地,土,dì|de
367,场,土,chǎng|cháng
368,扬,扌,yáng
369,耳,耳,ěr
370,芋,艹,yù
371,共,八,gòng|gōng
372,芒,艹,máng
373,亚,二,yà
374,芝,艹,zhī
375,朽,木,xiǔ
376,朴,木,pǔ|piáo|pò|pō
377,机,木,jī
378,权,木,quán
379,过,辶,guò|guo|guō
380,臣,臣,chén
381,吏,口,lì
382,再,冂,zài
383,协,十,xié
384,西,覀,xī
385,压,厂,yā|yà
