8102,醾,酉,mí
8101,玃,犭,jué
8099,鼷,鼠,xī
8098,籥,竹,yuè
8097,亹,亠,wěi|mén
8096,鳤,鱼,guǎn
8095,龢,龠,hé
8094,皭,白,jiào
8093,躔,足,chán
8092,鹴,鸟,shuāng
8091,礵,石,shuāng
8090,蘼,艹,mí
8089,糵,米,niè
8088,韂,革,chàn
8087,灈,氵,qú
8086,爚,火,yuè
8085,爟,火,guàn
8084,鳣,鱼,zhān|shàn
8083,鳡,鱼,gǎn
8082,鳠,鱼,hù
8081,鼱,鼠,jīng
8080,罍,缶,léi
8078,趯,走,tì|yuè
8077,鬘,髟,mán
8076,瓖,王,xiāng
8075,𤫉,王,xie
8074,耰,耒,yōu
8072,骦,马,shuāng
8071,孅,女,xiān|qiān
8070,襫,衤,shì
8069,瀵,氵,fèn
8068,瀼,氵,ráng|nǎng
8067,瀹,氵,yuè
8066,瀱,氵,jì
8065,爔,火,xī
8064,㸌,火,huo
8063,𨭉,金,
8061,犨,牛,chōu
8060,髎,骨,liáo
8059,酅,阝,xī
8058,巇,山,xī
8057,𨟠,邑,
8056,甗,瓦,yǎn
8055,颥,页,rú
8054,醵,酉,jù
8053,欂,木,bó
8052,蘘,艹,ráng
8051,鬒,髟,zhěn
8050,嬿,女,yàn
8049,彟,彐,huò
8048,蠃,虫,luǒ
8047,麖,鹿,jīng
8046,麑,鹿,ní
8045,鳛,鱼,xí
8044,鳚,鱼,wèi
8043,𩾌,魚,
8041,鼗,鼓,táo
8040,儴,亻,ráng|xiāng
8039,儳,亻,chán|chàn
8038,鳘,鱼,mǐn
8037,翾,羽,xuān
8036,蠋,虫,zhú
8035,蹯,足,fán
8034,醭,酉,bú
8033,鬷,鬲,zōng
8032,㰀,木,li
8031,嚭,口,pǐ
8029,䴙,鳥,pi
8028,襜,衤,chān
8027,瀌,氵,biāo
8026,瀍,氵,chán
8025,瀔,氵,gǔ
8024,䎖,羽,
8023,冁,丷,chǎn
8022,翷,羽,lín
8021,旞,方,suì
8020,𦒍,羽,
8019,癗,疒,lěi
8018,鹯,鸟,zhān
8017,鹱,鸟,hù
8016,鳒,鱼,jiān
8015,鳑,鱼,páng
8014,䲢,魚,tenɡ
8013,臑,月,nào
8012,皦,白,jiǎo
8011,鼩,鼠,qú
8010,鼫,鼠,shí
8009,簰,竹,pái
8008,簝,竹,liáo
8007,簠,皿,fǔ
8006,馧,香,yūn|wò
8005,酂,阝,zàn
8004,镱,钅,yì
8003,镮,钅,huán
8002,髃,骨,yú
8001,嚚,口,yín
8000,䗴,虫,tinɡ
7999,蟫,虫,yín|xún
7998,蹜,足,sù
7997,蹢,足,dí
7996,𥖨,石,
7995,礌,石,léi|lěi
7994,礞,石,méng
7993,黡,黑,yǎn
7992,檫,木,chá
7991,鹲,鸟,méng
7990,藨,艹,biāo|pāo
7989,藦,艹,mò
7988,藟,艹,lěi
7986,鞮,革,dī
7985,鞳,革,tà
7984,爇,灬,ruò
7983,鬶,鬲,guī
7982,釐,里,lí|xǐ|xī
7981,瓀,王,ruǎn
7979,𦈡,糹,
7978,嬥,女,tiǎo
7977,嬬,女,rú
7976,甓,瓦,pì
7975,螱,虫,wèi
7973,襚,衤,suì
7972,襕,衤,lán
7971,馘,首,guó
7970,䗪,虫,zhe
7969,獯,犭,xūn
7968,鳉,鱼,jiāng
7967,鳈,鱼,quán
7966,鳂,鱼,wēi
7965,鳁,鱼,wēn
7964,鲿,鱼,cháng
7962,鲾,鱼,bī
7960,䲠,魚,
7959,谿,谷,xī
7957,艚,舟,cáo
7956,斶,斤,chù
7955,魋,鬼,tuí
7954,儦,亻,biāo
7953,簏,竹,lù
7952,簃,竹,yí
7951,簕,竹,lè
7950,穟,禾,suì
7949,穜,禾,tóng|zhǒng
7948,穙,禾,pú
7947,矰,矢,zēng
7944,𨱔,金,
7942,镨,钅,pǔ
7941,镥,钅,lǔ
7938,镤,钅,pú
7936,㘎,口,hɑn
7935,蟏,虫,xiāo
7934,蹐,足,jí
7933,瞵,目,lín
7932,瞫,目,shěn
7931,磻,石,pán|bō
7930,磹,石,diàn
7929,繄,糸,yī
7928,醨,酉,lí
7927,檞,木,jiě
7926,櫆,木,kuí
7925,檑,木,léi
7924,薸,艹,piáo
7923,薿,艹,nǐ
