name|count|radical
水|382|冫,氵,水
口|320|口
草|309|艹
手|280|扌,手
木|277|木
人|266|亻,人,彳
金|197|钅,金
心|186|心,忄
言|150|讠,言
虫|144|虫
月|139|月
耳|139|卩,耳,阝
丝|134|纟
土|133|土
女|124|女
之|100|辶
火|98|火
王|97|王
竹|96|竹
足|90|足
